GENDER,AGE,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
FEMALE,65,2017337,2023861,2041439,2100550,2113784
FEMALE,66,1945174,1961902,1999976,2016915,2079118
FEMALE,67,1883505,1887944,1937136,1974722,1994754
FEMALE,68,1825446,1822390,1862353,1910664,1951621
FEMALE,69,1713272,1745374,1795576,1834698,1886191
FEMALE,70,1667360,1670111,1717762,1767178,1809211
FEMALE,71,1624157,1629924,1640896,1689357,1740156
FEMALE,72,1623548,1595159,1598572,1610893,1660982
FEMALE,73,1604056,1670594,1561150,1566154,1580761
FEMALE,74,1170509,1200867,1631819,1525840,1533626
FEMALE,75,1156600,1156990,1169589,1591520,1490475
FEMALE,76,1142978,1129732,1124050,1137133,1551093
FEMALE,77,1125150,1143448,1093941,1089870,1104696
FEMALE,78,972012,984118,1103318,1056781,1055637
FEMALE,79,877638,887918,945603,1061534,1019493
FEMALE,80,808981,817667,849153,905473,1019564
FEMALE,81,764731,760710,777822,809006,865416
FEMALE,82,708553,715664,719206,736776,769057
FEMALE,83,638152,641772,671961,676466,695974
FEMALE,84,596869,594706,597597,627148,634193
FEMALE,85,548203,551246,548682,552663,583163
FEMALE,86,477723,477402,503510,502408,509076
FEMALE,87,446244,443184,430961,456088,458047
FEMALE,88,407385,405024,395370,385437,411213
FEMALE,89,371128,364514,356195,349177,342977
FEMALE,90,322456,324043,315665,309756,306714
FEMALE,91,278662,275111,275958,269981,267755
FEMALE,92,240813,238682,229847,231872,229449
FEMALE,93,198555,198637,195470,189246,193538
FEMALE,94,160721,158922,159179,157575,154731
FEMALE,95,128308,128009,124120,125435,126121
FEMALE,96,97858,97881,97596,95144,98136
FEMALE,97,71648,72144,72533,73015,72384
FEMALE,98,53508,51905,51922,52681,54281
FEMALE,99,36717,36707,35975,36598,38026
FEMALE,100,62784,61174,61954,62573,65408
FEMALE,999,167268995,167308759,167630750,168308005,169165495
